total_pop,know_no_ef,mother_not_ef,home_not_ef,home_other_not_ef,CT_GEO2
6109,1355,4395,3540,685,378.24
7931,465,4770,3230,1145,378.25
4761,275,2895,1895,745,378.26
5806,245,2980,1950,730,378.27
7175,245,2895,1775,845,378.28
5911,165,1850,930,565,400.02
2961,140,1310,730,355,400.03
1961,120,780,475,185,400.04
3062,60,745,355,240,400.06
3316,40,720,305,245,400.07
2844,155,930,570,250,400.08
6259,735,4145,2835,970,400.11
6829,555,3600,2390,885,400.12
6678,705,4450,3090,1125,400.13
6116,1065,4145,3085,865,400.14
4629,115,1315,640,420,400.15
5388,245,2710,1515,950,400.16
4679,780,3125,2300,665,400.17
2507,510,1750,1375,385,400.18
10048,420,4410,2625,1305,400.19
4250,320,2505,1565,730,400.2
2102,160,1230,865,290,400.21
9623,550,5335,3115,1635,400.22
8556,725,5370,3645,1320,400.23
3305,545,2360,1635,545,401.04
2424,285,1845,1420,365,401.05
4891,480,2965,2025,760,401.06
4112,215,1535,930,410,401.07
3345,190,1630,990,425,401.08
8404,845,6035,4450,1285,401.09
4723,405,3105,2080,815,401.1
6784,925,4445,3130,1035,401.11
6440,1685,4815,3775,910,401.13
7822,770,4685,3260,1100,401.14
2759,210,1380,885,355,401.15
3510,575,2450,1690,625,401.17
6141,775,4230,3055,885,401.18
6820,1880,5270,4205,825,401.19
4453,1085,3280,2450,630,401.2
2920,690,2140,1640,430,401.21
8579,1545,6135,4715,1270,401.22
1946,225,1190,780,345,401.23
2465,75,1200,630,375,402.01
5455,350,3655,2580,765,402.02
3177,105,1390,845,375,402.03
5061,205,2620,1625,710,402.04
2005,100,990,590,285,402.05
6031,285,3255,2100,740,402.06
2054,70,930,540,235,402.07
6194,295,3540,2340,780,402.08
3699,115,1535,950,370,402.09
3632,115,1855,1095,480,402.1
5937,730,4595,3445,870,402.12
4965,215,2690,1605,815,402.13
7585,715,4765,3185,1290,403.01
4330,445,3160,2140,765,403.04
4155,295,2235,1450,590,403.05
12001,1550,8540,6230,1835,403.07
5012,685,3750,2765,900,403.09
5609,605,3855,2810,895,403.1
10620,1295,7385,5275,1675,403.11
9490,725,5495,3280,1555,403.12
6334,345,3135,1925,885,403.13
10117,1180,6595,4530,1530,403.14
11854,1130,8335,5805,2010,403.15
4087,280,2060,1305,510,403.16
4396,195,2665,1650,665,410.02
7178,190,2985,1620,875,410.03
3758,80,1430,785,455,410.04
6241,100,2015,935,745,410.05
3653,155,2010,1100,570,410.07
5354,320,3255,2020,760,410.09
3963,125,2065,1185,535,410.1
4207,80,1320,645,525,410.11
6623,405,3815,2390,975,410.12
6909,140,2385,1120,910,410.13
6012,260,3405,1965,905,410.14
1827,90,1015,640,230,410.15
5509,280,3135,1875,885,411.01
5598,250,2810,1285,890,411.04
4294,135,1855,690,655,411.07
2418,85,1305,705,405,411.08
6332,290,3925,2260,1060,411.09
5592,225,2750,1365,875,411.12
4243,175,2155,995,730,411.15
6414,170,2615,1130,1025,411.16
7439,345,4380,2600,1380,411.17
11132,580,6650,3925,1935,411.18
8657,345,4850,2695,1475,411.19
2443,115,1420,865,400,411.21
5492,235,2620,1215,870,411.22
4587,300,2470,1365,735,411.23
7393,490,4695,2840,1345,411.24
3435,180,1990,1170,550,411.25
5377,175,2290,1125,810,411.26
4203,105,1790,715,765,411.27
5152,195,2910,1735,820,411.28
5482,195,2675,1540,825,411.29
7289,250,3875,2225,1125,411.3
6419,295,3325,1585,1110,412.01
8918,470,3975,1900,1415,412.02
4387,265,2435,1170,895,412.04
3475,180,1850,840,595,412.06
2624,175,1550,850,515,412.08
5860,400,3265,1755,1095,412.1
4717,135,1995,775,825,412.11
4027,235,2335,1280,695,412.12
4065,255,2350,1135,785,412.13
3400,70,1450,430,615,412.14
5456,100,2335,660,1050,412.15
7593,200,3545,1155,1615,412.18
9559,300,3960,1630,1590,412.19
5761,185,2430,990,910,412.2
10,NA,NA,NA,NA,412.21
8811,385,4155,2115,1420,412.22
8371,310,4195,2140,1435,412.24
5508,270,3055,1555,930,412.25
6267,320,3420,1820,1145,412.26
9614,175,3290,1185,1445,413.01
12789,470,6130,2900,2250,413.02
6503,400,3715,2475,780,420.03
7714,840,5635,4050,1140,420.05
5147,460,3715,2635,825,420.06
4375,255,2410,1565,570,420.08
4537,235,2630,1755,675,420.09
3727,380,2605,1775,675,420.1
6190,565,4065,2545,1130,420.11
5570,355,3625,2385,910,420.13
7143,490,4790,3100,1110,420.14
2349,235,1695,1165,385,420.15
6824,330,4085,2330,1140,421.01
3675,145,1755,1105,365,421.04
3600,90,1795,1020,520,421.05
3631,200,2205,1375,485,421.06
4097,140,2105,1120,595,421.07
5361,315,2625,1720,545,422.02
6992,500,4740,3180,1125,422.03
3956,370,2850,1940,680,422.04
7090,645,5215,3635,1175,422.05
5212,360,2620,1730,580,422.06
3719,65,1220,530,390,423.01
7786,250,3465,1950,975,423.02
2404,175,1575,1050,375,424.04
9297,675,5650,3680,1465,424.05
8404,435,5115,3320,1175,424.07
7399,375,4125,2425,1075,424.08
3607,100,1645,850,495,424.09
6495,175,2680,1310,940,424.1
8070,370,3840,2220,1040,424.11
2373,105,1265,800,340,424.13
13212,610,7670,4560,2130,424.14
9776,615,6235,4025,1565,424.15
8787,550,5430,3390,1400,424.16
5411,70,985,420,325,430.03
7264,185,2275,1170,735,430.05
6760,250,2770,1605,870,430.06
7518,230,2485,1350,780,430.07
6072,185,2140,1175,655,430.08
6384,100,1310,485,445,431.01
6428,175,1970,870,620,431.02
7105,145,2040,1010,640,440
4494,50,815,370,255,441.02
7295,90,1565,650,525,441.03
5612,55,1370,540,495,441.04
4059,50,885,450,260,442.02
5277,60,1005,425,305,442.03
3669,35,710,335,195,442.04
7377,145,2300,1180,690,442.05
10557,565,5055,2940,1530,442.06
3208,40,390,155,130,450.02
8471,120,1715,820,510,450.03
5909,130,1715,870,525,450.05
7845,360,3050,1725,910,450.06
2283,35,300,150,75,451.01
4932,50,660,285,195,451.02
6952,120,1730,840,515,451.03
4583,35,795,335,275,451.05
6596,105,1800,925,505,451.06
4979,135,1825,955,510,451.07
3153,25,400,200,125,452.01
4978,55,765,355,250,452.02
5579,45,840,335,315,452.03
4892,180,2225,1255,640,452.05
4529,175,1935,1125,565,452.06
5335,55,920,410,260,452.07
8254,45,960,370,365,455
4480,15,515,150,195,456.01
7199,105,1530,785,415,456.02
4058,20,440,135,155,456.03
7234,115,2350,865,875,460.01
3557,50,875,300,330,460.02
5658,65,1545,350,730,461.01
8063,55,1655,445,635,461.02
2790,5,220,55,75,470
3276,15,260,85,75,471
7475,65,975,405,315,472
6659,35,545,170,195,473.01
6998,60,690,265,260,473.02
3713,10,240,65,110,473.03
5517,35,555,215,160,474
6826,45,635,270,230,475
261,0,15,5,20,476.01
2164,5,175,50,60,476.02
4069,115,915,445,275,480.01
11075,285,3620,1805,1215,480.02
8469,240,2710,1315,890,481.01
4286,90,815,380,205,481.02
7426,90,1860,695,700,482
4782,0,380,100,170,483.01
3237,25,570,190,215,483.02
6071,15,565,130,195,484.02
3976,15,605,150,230,484.03
885,0,80,10,35,484.04
8215,40,915,345,335,485.01
7076,40,615,185,195,485.02
3381,95,1250,625,350,500.01
4874,85,1520,725,480,500.02
5945,85,1665,745,550,501.01
6814,125,2175,1020,750,501.02
5429,75,1925,905,600,502.01
2545,65,710,370,195,502.02
5017,90,1675,780,565,503
3392,40,745,290,275,504
4688,50,1040,355,415,505.01
5762,60,1665,640,665,505.02
2717,15,570,150,235,506
3702,60,965,400,340,507
3175,80,1110,505,430,508
5015,115,1925,955,630,509.01
3168,35,950,350,320,509.02
5540,115,1705,690,590,510
6166,320,3200,1945,830,511.01
4714,110,1675,835,510,511.02
6012,340,3150,1895,745,512
6973,205,3150,1525,980,513.01
6352,390,3750,2305,940,513.02
3527,100,1695,965,465,513.03
3742,165,1870,965,565,513.04
2340,40,880,370,365,514.01
5832,220,2890,1680,685,514.02
4305,60,1190,565,355,515.01
3874,70,1265,585,410,515.02
5445,95,1695,825,525,516.01
4852,45,1425,625,505,516.02
5715,95,1805,860,575,516.03
6250,110,2295,1170,730,516.04
6156,125,1920,980,565,516.05
4934,65,1530,740,440,516.06
5971,155,2185,1170,660,516.08
7e3,175,2610,1365,800,516.09
4646,75,1570,725,555,516.11
5533,130,2225,1155,650,516.16
3583,50,1205,520,370,516.17
3555,35,1080,490,390,516.18
6249,120,2165,1060,685,516.2
2918,50,890,350,375,516.21
6967,135,2795,1290,930,516.22
5605,110,2115,995,770,516.23
4081,75,1410,630,495,516.24
3870,65,1475,740,470,516.25
6832,180,3115,1720,915,516.26
4820,180,2405,1315,655,516.28
4857,160,2325,1265,645,516.29
5931,220,3190,1630,1165,516.3
2804,95,1430,710,425,516.31
4951,75,1900,915,640,516.32
6099,265,3210,1815,950,516.37
6517,215,3545,1965,1080,516.38
5168,145,2525,1305,880,516.39
6382,135,2640,1305,870,516.4
5734,175,3275,1840,970,516.41
8626,290,4880,2695,1540,516.42
4210,205,2200,1290,695,516.43
5438,210,2630,1435,825,516.44
7625,245,4405,2415,1440,516.46
5127,145,2755,1460,865,516.47
6661,210,4015,2150,1230,516.48
8971,270,5075,2665,1645,516.49
1678,35,655,315,205,517
4236,170,2075,1195,505,518
3810,140,1885,1090,470,519
5483,325,3245,1990,700,520.01
7102,435,4325,2505,1220,520.02
3637,115,1955,1020,640,520.05
5198,290,3220,2025,785,520.07
6304,295,3530,2e3,1e3,520.08
7125,305,4250,2435,1125,520.09
9663,345,5760,3040,1885,520.1
5684,315,3310,1955,880,521.01
3483,140,1860,1085,485,521.02
4995,235,2815,1665,720,521.03
6604,270,3350,1895,935,521.04
4201,195,2240,1455,560,521.05
5575,460,3190,1985,715,521.06
6008,340,3205,1850,810,522
6170,225,2985,1715,770,523
4737,275,2460,1535,615,524.01
3579,175,1855,1155,420,524.02
3450,310,2060,1360,475,525.01
4662,200,2530,1575,625,525.02
